domain,node,neighbor,weight,node_year,neighbor_year,node_paper_id,neighbor_paper_id
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,system stabil assess,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,analysi model power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,control mpupfc power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,model power flow,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,power flow control,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,design analysi model,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),mpupfc power system,power system stabil,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,flow control mpupfc,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,system stabil assess,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,mpupfc power system,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
Systems and Control(91.55%) | Neural and Evolutionary Computing(73.75%) | Other Computer Science(66.65%),model power flow,analysi model power,1,0.0,2012.0,,c4b41aef-34eb-4241-84da-0d00a3290013
